,Unnamed: 0,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
72,902644,202208,3,35,355030,J,6201501,1,212405,101,4,28.0,40.0,1,1,0,1,97,0,0,0,5100.0,10,0,1,202208,0,5,5100.0,Analista de Desenvolvimento de Sistemas
73,902646,202208,3,35,355030,M,7020400,1,212405,101,5,27.0,40.0,3,1,0,1,97,0,0,0,3161.0,9,0,1,202208,0,5,3161.0,Analista de Desenvolvimento de Sistemas
74,902649,202208,3,35,355030,M,7490104,1,212405,101,5,27.0,40.0,3,3,0,1,97,0,0,0,9000.0,10,0,1,202208,0,5,9000.0,Analista de Desenvolvimento de Sistemas
75,902650,202208,3,35,355030,J,6209100,1,212405,101,4,42.0,40.0,1,3,0,1,97,0,0,0,4800.0,2,0,1,202208,0,5,4800.0,Analista de Desenvolvimento de Sistemas
76,902652,202208,3,35,355030,J,6319400,1,212405,101,5,20.0,44.0,6,3,0,1,97,0,0,0,2300.0,5,0,1,202208,0,5,2300.0,Analista de Desenvolvimento de Sistemas
77,902656,202208,3,35,355030,N,7820500,1,212405,101,5,24.0,44.83,1,3,0,1,97,0,0,0,3665.93,10,0,1,202208,0,5,3665.93,Analista de Desenvolvimento de Sistemas
78,902657,202208,3,35,355030,J,6311900,-1,212405,101,5,40.0,40.0,1,1,0,1,40,0,0,0,13000.0,4,0,1,202208,0,5,13000.0,Analista de Desenvolvimento de Sistemas
79,902661,202208,3,35,355030,K,6499999,-1,212405,101,5,32.0,40.0,1,1,0,1,40,0,0,0,11200.0,1,0,1,202208,0,5,11200.0,Analista de Desenvolvimento de Sistemas
80,902663,202208,3,35,355030,N,7820500,1,212405,101,5,26.0,44.83,3,1,0,1,97,0,0,0,3665.93,10,0,1,202208,0,5,3665.93,Analista de Desenvolvimento de Sistemas
81,902679,202208,3,35,355030,K,6436100,-1,212405,101,5,26.0,30.0,1,1,0,1,31,0,0,1,5259.92,5,0,1,202208,0,5,5259.92,Analista de Desenvolvimento de Sistemas
82,902681,202208,3,35,355030,J,6204000,1,212405,101,4,29.0,40.0,1,1,0,1,97,0,0,0,2836.29,7,0,1,202208,0,5,2836.29,Analista de Desenvolvimento de Sistemas
83,902687,202208,3,35,355030,J,6110803,1,212405,101,5,42.0,44.0,6,1,0,1,97,0,0,0,14500.0,7,0,1,202208,0,5,14500.0,Analista de Desenvolvimento de Sistemas
84,902689,202208,3,35,355030,K,6630400,1,212405,101,5,23.0,40.0,1,1,0,1,97,0,0,0,4477.28,5,0,1,202208,0,5,4477.28,Analista de Desenvolvimento de Sistemas
85,902690,202208,3,35,355030,N,8211300,1,212405,101,5,22.0,44.0,3,1,0,1,97,0,0,0,6800.0,10,0,1,202208,0,5,6800.0,Analista de Desenvolvimento de Sistemas
86,902691,202208,3,35,355030,J,6311900,-1,212405,101,4,34.0,40.0,1,1,0,1,31,0,0,0,5652.3,8,0,1,202208,0,5,5652.3,Analista de Desenvolvimento de Sistemas
87,902692,202208,3,35,355030,K,6422100,1,212405,101,5,40.0,40.0,1,1,0,1,97,0,0,0,15000.0,10,0,1,202208,0,5,15000.0,Analista de Desenvolvimento de Sistemas
88,902694,202208,3,35,355030,G,4771701,1,212405,101,6,36.0,44.0,1,1,0,1,97,0,0,0,10500.0,10,0,1,202208,0,5,10500.0,Analista de Desenvolvimento de Sistemas
89,902698,202208,3,35,355030,J,6204000,1,212405,101,5,46.0,40.0,1,1,0,1,97,0,0,0,10911.0,7,0,1,202208,0,5,10911.0,Analista de Desenvolvimento de Sistemas
90,902699,202208,3,35,355030,J,6201501,1,212405,101,5,45.0,40.0,1,1,0,1,97,0,0,0,10500.0,10,0,1,202208,0,5,10500.0,Analista de Desenvolvimento de Sistemas
91,902700,202208,3,35,355030,N,8299799,1,212405,101,5,40.0,44.0,1,1,0,1,97,0,0,0,23000.0,8,0,1,202208,0,5,23000.0,Analista de Desenvolvimento de Sistemas
92,902701,202208,3,35,355030,J,6203100,1,212405,101,8,44.0,44.0,1,1,0,1,97,0,0,9,17000.0,10,0,1,202208,0,5,17000.0,Analista de Desenvolvimento de Sistemas
93,902702,202208,3,35,355030,K,6619399,1,212405,101,4,25.0,40.0,1,3,0,1,97,0,0,0,7572.38,8,0,1,202208,0,5,7572.38,Analista de Desenvolvimento de Sistemas
94,902703,202208,3,35,355030,N,8211300,1,212405,101,5,32.0,44.0,1,3,0,1,97,0,0,9,6898.0,10,0,1,202208,0,5,6898.0,Analista de Desenvolvimento de Sistemas
95,902709,202208,3,35,355030,C,1042200,1,212405,101,5,24.0,44.0,1,3,0,1,97,0,0,0,5150.0,10,0,1,202208,0,5,5150.0,Analista de Desenvolvimento de Sistemas
96,902711,202208,3,35,355030,S,9511800,1,212405,101,8,42.0,44.0,1,1,0,1,97,0,0,0,7500.0,6,0,1,202208,0,5,7500.0,Analista de Desenvolvimento de Sistemas
97,902713,202208,3,35,355030,J,6201501,-1,212405,101,3,41.0,40.0,1,1,0,1,31,0,0,0,4169.33,9,0,1,202208,0,5,4169.33,Analista de Desenvolvimento de Sistemas
98,902719,202208,3,35,355030,J,6204000,1,212405,101,5,32.0,40.0,1,1,0,1,97,0,0,0,16000.0,9,0,1,202208,0,5,16000.0,Analista de Desenvolvimento de Sistemas
99,902721,202208,3,35,355030,K,6630400,-1,212405,101,5,26.0,40.0,3,1,0,1,40,0,0,0,8000.0,5,0,1,202208,0,5,8000.0,Analista de Desenvolvimento de Sistemas
100,902723,202208,3,35,355030,J,6209100,1,212405,101,5,42.0,40.0,6,1,0,1,97,0,0,0,8500.0,9,0,1,202208,0,5,8500.0,Analista de Desenvolvimento de Sistemas
101,902725,202208,3,35,355030,J,6203100,-1,212405,101,5,26.0,44.0,3,1,0,1,31,0,0,0,8970.6,8,0,1,202208,0,5,8970.6,Analista de Desenvolvimento de Sistemas
102,902726,202208,3,35,355030,N,7820500,-1,212405,106,5,24.0,40.0,6,1,0,1,43,0,0,0,7266.96,10,0,1,202208,0,5,7266.96,Analista de Desenvolvimento de Sistemas
103,902727,202208,3,35,355030,N,8211300,1,212405,101,5,33.0,44.0,1,1,0,1,97,0,0,0,11500.0,7,0,1,202208,0,5,11500.0,Analista de Desenvolvimento de Sistemas
104,902728,202208,3,35,355030,N,7820500,-1,212405,101,5,33.0,40.0,1,1,0,1,31,0,0,0,3144.9,10,0,1,202208,0,5,3144.9,Analista de Desenvolvimento de Sistemas
105,902729,202208,3,35,355030,J,6209100,-1,212405,101,4,33.0,40.0,1,1,0,1,40,0,0,0,10000.0,7,0,1,202208,0,5,10000.0,Analista de Desenvolvimento de Sistemas
106,902730,202208,3,35,355030,J,6319400,1,212405,101,5,24.0,44.0,3,3,0,1,97,0,0,0,2500.0,6,0,1,202208,0,5,2500.0,Analista de Desenvolvimento de Sistemas
107,902732,202208,3,35,355030,K,6619305,-1,212405,101,5,24.0,44.0,1,3,0,1,40,0,0,0,7094.0,9,0,1,202208,0,5,7094.0,Analista de Desenvolvimento de Sistemas
108,902739,202208,3,35,355030,J,6201501,1,212405,101,3,27.0,44.0,3,1,0,1,97,0,0,0,2000.0,6,0,1,202208,0,5,2000.0,Analista de Desenvolvimento de Sistemas
109,902743,202208,3,35,355030,G,4651601,1,212405,101,4,21.0,44.0,1,1,0,1,97,0,0,0,2234.6,3,0,1,202208,0,5,2234.6,Analista de Desenvolvimento de Sistemas
110,902744,202208,3,35,355030,J,6204000,-1,212405,101,5,25.0,44.0,1,1,0,1,40,0,0,9,4701.49,10,0,1,202208,0,5,4701.49,Analista de Desenvolvimento de Sistemas
111,902748,202208,3,35,355030,J,6201501,-1,212405,101,5,31.0,44.0,3,1,0,1,43,0,0,0,2707.72,8,0,1,202208,0,5,2707.72,Analista de Desenvolvimento de Sistemas
112,902753,202208,3,35,355030,K,6619305,-1,212405,101,5,31.0,44.0,3,1,0,1,40,0,0,0,8587.0,9,0,1,202208,0,5,8587.0,Analista de Desenvolvimento de Sistemas
113,902761,202208,3,35,355030,J,6201501,1,212405,101,5,35.0,40.0,1,1,0,1,97,0,0,0,3200.0,6,0,1,202208,0,5,3200.0,Analista de Desenvolvimento de Sistemas
114,902763,202208,3,35,355030,J,6209100,1,212405,101,3,27.0,44.0,6,3,0,1,97,0,0,0,1773.98,1,0,1,202208,0,5,1773.98,Analista de Desenvolvimento de Sistemas
115,902764,202208,3,35,355030,J,6201501,-1,212405,101,8,63.0,40.0,1,3,0,1,40,0,0,0,5460.14,9,0,1,202208,0,5,5460.14,Analista de Desenvolvimento de Sistemas
116,902767,202208,3,35,355030,J,6201501,1,212405,101,5,28.0,40.0,2,1,0,1,97,1,0,0,15611.5,8,0,1,202208,0,5,15611.5,Analista de Desenvolvimento de Sistemas
117,902771,202208,3,35,355030,J,6201501,1,212405,101,5,23.0,40.0,3,1,0,1,97,0,0,0,8000.0,10,0,1,202208,0,5,8000.0,Analista de Desenvolvimento de Sistemas
118,902772,202208,3,35,355030,J,6209100,1,212405,101,3,25.0,44.0,3,1,0,1,97,0,0,0,9500.0,10,0,1,202208,0,5,9500.0,Analista de Desenvolvimento de Sistemas
119,902774,202208,3,35,355030,J,6209100,-1,212405,101,4,28.0,44.0,1,1,0,1,40,0,0,0,3270.0,4,0,1,202208,0,5,3270.0,Analista de Desenvolvimento de Sistemas
120,902777,202208,3,35,355030,J,6202300,-1,212405,101,5,26.0,40.0,3,1,0,1,40,0,0,0,2804.03,5,0,1,202208,0,5,2804.03,Analista de Desenvolvimento de Sistemas
121,902778,202208,3,35,355030,N,8211300,-1,212405,101,5,24.0,40.0,1,1,0,1,40,0,0,0,5400.71,10,0,1,202208,0,5,5400.71,Analista de Desenvolvimento de Sistemas
122,902783,202208,3,35,355030,J,6204000,1,212405,101,5,46.0,44.0,3,1,0,1,97,0,0,9,9000.0,10,0,1,202208,0,5,9000.0,Analista de Desenvolvimento de Sistemas
123,902784,202208,3,35,355030,K,6463800,1,212405,101,4,33.0,44.0,1,1,0,1,97,0,0,0,14500.0,7,0,1,202208,0,5,14500.0,Analista de Desenvolvimento de Sistemas
124,902790,202208,3,35,355030,N,8291100,-1,212405,101,4,23.0,44.0,3,1,0,1,40,0,0,0,5833.42,7,0,1,202208,0,5,5833.42,Analista de Desenvolvimento de Sistemas
125,902792,202208,3,35,355030,J,6202300,-1,212405,101,5,60.0,40.0,1,3,0,1,31,0,0,0,2480.08,6,0,1,202208,0,5,2480.08,Analista de Desenvolvimento de Sistemas
126,902793,202208,3,35,355030,J,6204000,1,212405,101,5,29.0,40.0,1,1,0,1,97,0,0,0,14000.0,7,0,1,202208,0,5,14000.0,Analista de Desenvolvimento de Sistemas
127,902804,202208,3,35,355030,L,6821802,-1,212405,101,3,29.0,44.0,6,1,0,1,40,0,0,0,14338.91,10,0,1,202208,0,5,14338.91,Analista de Desenvolvimento de Sistemas
128,902810,202208,3,35,355030,K,6613400,1,212405,101,5,31.0,44.0,6,1,0,1,97,0,0,9,14335.49,10,0,1,202208,0,5,14335.49,Analista de Desenvolvimento de Sistemas
129,902811,202208,3,35,355030,K,6630400,-1,212405,101,4,30.0,40.0,6,1,0,1,40,0,0,0,11500.0,5,0,1,202208,0,5,11500.0,Analista de Desenvolvimento de Sistemas
130,902813,202208,3,35,355030,J,6209100,-1,212405,101,5,43.0,40.0,6,1,0,1,43,0,0,0,9349.2,9,0,1,202208,0,5,9349.2,Analista de Desenvolvimento de Sistemas
131,902816,202208,3,35,355030,J,6201501,1,212405,101,4,27.0,40.0,1,1,0,1,97,0,0,0,10000.0,8,0,1,202208,0,5,10000.0,Analista de Desenvolvimento de Sistemas
132,902820,202208,3,35,355030,J,6202300,1,212405,101,4,24.0,40.0,6,1,0,1,97,0,0,0,2611.6,7,0,1,202208,0,5,2611.6,Analista de Desenvolvimento de Sistemas
133,902822,202208,3,35,355030,J,6204000,1,212405,101,4,33.0,40.0,1,1,0,1,97,0,0,0,2836.29,7,0,1,202208,0,5,2836.29,Analista de Desenvolvimento de Sistemas
134,902824,202208,3,35,355030,J,6203100,1,212405,101,5,30.0,40.0,1,3,0,1,97,0,0,0,5124.0,7,0,1,202208,0,5,5124.0,Analista de Desenvolvimento de Sistemas
135,902826,202208,3,35,355030,K,6612601,1,212405,101,5,23.0,44.0,1,3,0,1,97,0,0,9,7000.0,10,0,1,202208,0,5,7000.0,Analista de Desenvolvimento de Sistemas
