,salario,secao,subclasse,saldomov,cbo2002,categoria,grau,idade,horascontratuais,racacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentacao,tipodedeficiencia,indtrabintermitente,indtrabparcial,tamestabjan,indicadoraprendiz,origemdainformacao,indicadordeforadoprazo,unidadesalariocodigo,valorsalariofixo,nome_ocu
2609643,"14000,00",J,6201501,1,212405,101,9,29.0,"40,00",1,1,0,1,97,0,0,0,9,0,1,0,5,"14000,00",Analista de Desenvolvimento de Sistemas
2609645,"10000,00",N,7740300,1,212405,101,8,33.0,"42,50",2,3,0,1,97,0,0,0,9,0,1,0,5,"10000,00",Analista de Desenvolvimento de Sistemas
2609647,"17000,00",J,6204000,-1,212405,101,7,32.0,"40,00",3,1,0,1,40,0,0,0,10,0,1,0,5,"17000,00",Analista de Desenvolvimento de Sistemas
2609649,"3200,00",J,6201501,-1,212405,101,9,51.0,"40,00",1,1,0,1,31,0,0,0,6,0,1,0,5,"3200,00",Analista de Desenvolvimento de Sistemas
2609650,"21178,50",J,6202300,-1,212405,101,8,34.0,"40,00",1,1,0,1,40,0,0,0,8,0,1,0,5,"21178,50",Analista de Desenvolvimento de Sistemas
2609651,"10500,00",J,6201501,1,212405,101,9,36.0,"40,00",2,1,0,1,97,0,0,0,10,0,1,0,5,"10500,00",Analista de Desenvolvimento de Sistemas
2609662,"2600,00",J,6204000,-1,212405,101,8,22.0,"44,00",1,1,0,1,31,0,0,0,5,0,1,0,5,"2600,00",Analista de Desenvolvimento de Sistemas
2609663,"2785,58",J,6204000,-1,212405,101,80,37.0,"40,00",1,1,0,1,40,0,0,0,7,0,1,0,5,"2785,58",Analista de Desenvolvimento de Sistemas
2609664,"11500,00",J,6204000,1,212405,101,9,44.0,"44,00",1,3,0,1,97,0,0,9,10,0,1,0,5,"11500,00",Analista de Desenvolvimento de Sistemas
2609668,"8583,58",J,6204000,-1,212405,101,9,58.0,"44,00",1,1,0,1,40,0,0,9,10,0,1,0,5,"8583,58",Analista de Desenvolvimento de Sistemas
2609671,"5631,01",K,6422100,1,212405,101,80,29.0,"44,00",1,1,0,1,97,0,0,0,10,0,1,0,5,"5631,01",Analista de Desenvolvimento de Sistemas
2609672,"17000,00",M,7490104,-1,212405,101,9,31.0,"40,00",1,1,0,1,31,0,0,0,1,0,1,0,5,"17000,00",Analista de Desenvolvimento de Sistemas
2609673,"10920,04",J,6201501,-1,212405,101,7,39.0,"40,00",1,1,0,1,40,0,0,0,8,0,1,0,5,"10920,04",Analista de Desenvolvimento de Sistemas
2609677,"3400,00",K,6613400,1,212405,101,8,29.0,"44,00",6,1,0,1,97,0,0,0,7,0,1,0,5,"3400,00",Analista de Desenvolvimento de Sistemas
2609684,"6306,47",G,4729699,-1,212405,101,9,22.0,"40,00",2,3,0,1,40,0,0,0,9,0,1,0,5,"6306,47",Analista de Desenvolvimento de Sistemas
2609685,"6800,00",J,6120501,1,212405,101,9,28.0,"40,00",1,3,0,1,97,0,0,0,10,0,1,0,5,"6800,00",Analista de Desenvolvimento de Sistemas
2609688,"13500,00",J,6201501,1,212405,101,9,42.0,"40,00",3,1,0,1,97,1,0,0,9,0,1,0,5,"13500,00",Analista de Desenvolvimento de Sistemas
2609690,"4349,67",M,7319004,-1,212405,101,9,37.0,"40,00",1,3,0,1,31,0,0,0,5,0,1,0,5,"4349,67",Analista de Desenvolvimento de Sistemas
2609692,"3798,50",J,6203100,-1,212405,101,8,26.0,"40,00",3,1,0,1,31,0,0,0,5,0,1,0,5,"3798,50",Analista de Desenvolvimento de Sistemas
2609698,"12000,00",J,6203100,1,212405,101,8,33.0,"40,00",1,1,0,1,97,0,0,0,10,0,1,0,5,"12000,00",Analista de Desenvolvimento de Sistemas
2609699,"9700,00",K,6630400,1,212405,101,6,25.0,"44,00",6,1,0,1,97,0,0,9,7,0,1,0,5,"9700,00",Analista de Desenvolvimento de Sistemas
2609701,"5545,35",J,6209100,-1,212405,101,9,30.0,"44,00",6,1,0,1,40,0,0,0,10,0,1,0,5,"5545,35",Analista de Desenvolvimento de Sistemas
2609704,"5058,50",G,4742300,-1,212405,101,10,39.0,"44,00",5,1,0,1,40,0,0,0,6,0,1,0,5,"5058,50",Analista de Desenvolvimento de Sistemas
2609706,"7666,00",M,6920601,1,212405,101,9,35.0,"40,00",1,3,0,1,97,0,0,0,9,0,1,0,5,"7666,00",Analista de Desenvolvimento de Sistemas
2609709,"8000,00",F,4110700,1,212405,101,9,22.0,"44,00",1,3,0,1,97,0,0,0,7,0,1,0,5,"8000,00",Analista de Desenvolvimento de Sistemas
2609713,"5500,00",J,6201501,1,212405,101,9,46.0,"40,00",1,3,0,1,97,0,0,0,6,0,1,0,5,"5500,00",Analista de Desenvolvimento de Sistemas
2609716,"12628,38",J,6201501,-1,212405,101,80,37.0,"40,00",1,1,0,1,40,0,0,0,10,0,1,0,5,"12628,38",Analista de Desenvolvimento de Sistemas
2609722,"5217,29",J,6203100,1,212405,101,8,38.0,"40,00",1,1,0,1,97,0,0,0,8,0,1,0,5,"5217,29",Analista de Desenvolvimento de Sistemas
2609727,"3497,79",J,6201501,-1,212405,101,9,27.0,"40,00",1,1,0,1,40,0,0,0,4,0,1,0,5,"3497,79",Analista de Desenvolvimento de Sistemas
2609729,"11000,00",J,6201501,1,212405,101,9,31.0,"40,00",3,1,0,1,97,0,0,0,10,0,1,0,5,"11000,00",Analista de Desenvolvimento de Sistemas
2609731,"4683,97",J,6209100,-1,212405,101,7,29.0,"40,00",1,1,0,1,40,0,0,0,7,0,1,0,5,"4683,97",Analista de Desenvolvimento de Sistemas
2609736,"2033,60",J,6203100,1,212405,101,8,33.0,"40,00",3,1,0,1,97,0,0,0,5,0,1,0,5,"2033,60",Analista de Desenvolvimento de Sistemas
2609748,"8300,00",J,6120501,1,212405,101,9,33.0,"40,00",1,3,0,1,97,0,0,0,10,0,1,0,5,"8300,00",Analista de Desenvolvimento de Sistemas
2609763,"14800,00",K,6613400,1,212405,101,80,28.0,"40,00",1,3,0,1,97,0,0,0,10,0,1,0,5,"14800,00",Analista de Desenvolvimento de Sistemas
2609764,"8709,68",K,6629100,1,212405,101,9,27.0,"44,00",6,1,0,1,97,0,0,9,6,0,1,0,5,"8709,68",Analista de Desenvolvimento de Sistemas
2609765,"6000,00",S,9511800,1,212405,101,80,38.0,"44,00",4,3,0,1,97,0,0,0,6,0,1,0,5,"6000,00",Analista de Desenvolvimento de Sistemas
2609766,"14000,00",I,5620101,1,212405,101,9,42.0,"42,50",1,3,0,1,97,0,0,0,10,0,1,0,5,"14000,00",Analista de Desenvolvimento de Sistemas
2609777,"9000,00",K,6511101,1,212405,101,9,30.0,"44,00",1,1,0,1,97,0,0,0,9,0,1,0,5,"9000,00",Analista de Desenvolvimento de Sistemas
2609778,"10000,00",J,6209100,-1,212405,101,9,43.0,"40,00",6,1,0,1,31,0,0,0,9,0,1,0,5,"10000,00",Analista de Desenvolvimento de Sistemas
2609779,"11000,00",J,6202300,1,212405,101,9,26.0,"40,00",1,1,0,1,97,0,0,0,10,0,1,0,5,"11000,00",Analista de Desenvolvimento de Sistemas
2609790,"7500,00",K,6511101,1,212405,101,80,40.0,"44,00",1,1,0,1,97,0,0,0,9,0,1,0,5,"7500,00",Analista de Desenvolvimento de Sistemas
2609791,"11500,00",K,6619399,-1,212405,101,80,42.0,"40,00",1,1,0,1,43,0,0,0,7,0,1,0,5,"11500,00",Analista de Desenvolvimento de Sistemas
2609792,"3755,00",J,6202300,-1,212405,101,8,26.0,"40,00",1,3,0,1,31,0,0,0,4,0,1,0,5,"3755,00",Analista de Desenvolvimento de Sistemas
2609794,"12810,00",J,6201501,-1,212405,101,9,41.0,"40,00",3,1,0,1,40,0,0,0,9,0,1,0,5,"12810,00",Analista de Desenvolvimento de Sistemas
2609795,"14580,60",J,6201501,1,212405,101,80,35.0,"40,00",1,1,0,1,97,0,0,0,10,0,1,0,5,"14580,60",Analista de Desenvolvimento de Sistemas
2609798,"9400,00",J,6110803,1,212405,101,80,31.0,"44,00",1,1,0,1,97,0,0,0,6,0,1,0,5,"9400,00",Analista de Desenvolvimento de Sistemas
2609799,"5083,31",J,6201501,1,212405,101,9,23.0,"40,00",3,1,0,1,97,0,0,0,5,0,1,0,5,"5083,31",Analista de Desenvolvimento de Sistemas
2609804,"15000,00",J,6204000,-1,212405,101,9,41.0,"40,00",1,1,0,1,40,0,0,0,7,0,1,0,5,"15000,00",Analista de Desenvolvimento de Sistemas
2609806,"6400,00",Q,8660700,1,212405,101,9,40.0,"44,00",6,3,0,1,97,0,0,0,1,0,1,0,5,"6400,00",Analista de Desenvolvimento de Sistemas
2609807,"7450,01",K,6422100,-1,212405,101,9,24.0,"44,00",3,1,0,1,40,0,0,0,10,0,1,0,5,"7450,01",Analista de Desenvolvimento de Sistemas
2609810,"16500,00",J,6202300,1,212405,101,7,31.0,"40,00",3,1,0,1,97,0,0,0,8,0,1,0,5,"16500,00",Analista de Desenvolvimento de Sistemas
2609811,"10425,81",K,6613400,1,212405,101,9,29.0,"44,00",2,1,0,1,97,0,0,9,10,0,1,0,5,"10425,81",Analista de Desenvolvimento de Sistemas
